,Name,Property_type,Country,code,latitude,longitude,neighbourhood,Accomadates,Price,guests_included,Extra_people,min_nights,max_nights,Cancellation_policy,amenities,availability_365,bedrooms,beds,room_type,last_review,Reviews_count,review_score,host_listings,host_name,host_id,verified_host
21,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Australia,AUS,-33.88029,151.21554,Darlinghurst,2,181.0,1.0,0.0,10,21,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Ethernet connection', 'Other']",0,0.0,1.0,Entire home/apt,2018-03-18 04:00:00,64,95.0,1,Ben,13764143,True
23,Easy 1 Bedroom in Chelsea,Apartment,United States of America,USA,40.74577,-74.00074,Manhattan,2,145.0,1.0,0.0,2,1125,flexible,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials']",0,1.0,1.0,Entire home/apt,2016-01-03 05:00:00,1,100.0,1,Scott,34607505,True
25,Double and triple rooms Blue mosque,Bed and breakfast,Turkey,TUR,41.0062,28.98009,Fatih,3,121.0,1.0,0.0,1,1125,moderate,"['Internet', 'Wifi', 'Air conditioning', 'Free parking on premises', 'Smoking allowed', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff']",365,1.0,2.0,Private room,2018-05-07 04:00:00,29,92.0,2,Mehmet Emin,52004703,True
26,A bedroom far away from home,Apartment,United States of America,USA,40.71485,-73.82257,Queens,2,45.0,1.0,10.0,1,10,strict_14_with_grace_period,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Host greets you']",34,1.0,1.0,Private room,2019-03-03 05:00:00,239,95.0,1,Lane,1017772,True
27,2 bedroom Upper east side,Apartment,United States of America,USA,40.7664,-73.95854,Upper East Side,5,275.0,1.0,0.0,2,7,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Pets live on this property', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,2.0,2.0,Entire home/apt,2017-08-19 04:00:00,9,90.0,2,Chelsea,52004369,True
28,A Casa Alegre é um apartamento T1.,Apartment,Portugal,PRT,41.3596,-8.75383,,2,40.0,2.0,0.0,7,180,moderate,"['TV', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Bathtub', 'Beachfront']",46,1.0,1.0,Entire home/apt,2017-08-27 04:00:00,12,96.0,1,Manuela,51920973,True
29,Ipanema: moderno apê 2BR + garagem,Apartment,Brazil,BRA,-22.980051683700506,-43.1998455458952,,4,298.0,2.0,50.0,4,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",174,2.0,2.0,Entire home/apt,2019-01-28 05:00:00,24,92.0,13,Barbara,2537111,True
30,"Big, Bright & Convenient Sheung Wan",Apartment,Hong Kong,CHN,22.28422,114.15007,Central & Western District,2,966.0,1.0,0.0,2,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,0.0,1.0,Entire home/apt,2016-01-06 05:00:00,1,100.0,1,Regg,11435086,True
31,Private Room (2)  in Guest House at Coogee Beach,House,Australia,AUS,-33.92398,151.25541,Coogee,2,64.0,1.0,0.0,3,365,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Smoking allowed', 'Doorman', 'Free street parking', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Safety card', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water']",20,1.0,2.0,Private room,2017-12-01 05:00:00,8,100.0,6,David,5595776,True
32,Room Close to LGA and 35 mins to Times Square,Apartment,United States of America,USA,40.74953,-73.88025,Queens,2,46.0,1.0,10.0,2,1125,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Pets live on this property', 'Dog(s)', 'Other pet(s)', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Host greets you']",365,1.0,1.0,Private room,2018-11-28 05:00:00,123,99.0,1,Cheer,52031360,True
33,Large railroad style 3 bedroom apt in Manhattan!,Apartment,United States of America,USA,40.79805,-73.93943,Manhattan,9,180.0,4.0,19.0,3,6,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Other']",0,3.0,4.0,Entire home/apt,2019-01-01 05:00:00,22,95.0,1,Vick,35215309,True
35,"Cozy Nest, heart of the Plateau",Apartment,Canada,CA,45.52028,-73.58774,Le Plateau-Mont-Royal,1,34.0,1.0,10.0,2,120,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed']",0,1.0,1.0,Private room,2019-01-08 05:00:00,62,98.0,1,Lilou,39300,True
37,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Turkey,TUR,41.04841,28.98713,Şişli,4,838.0,1.0,0.0,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",365,2.0,4.0,Entire home/apt,2017-08-07 04:00:00,3,67.0,16,Ahmet,51471538,False
40,Resort-like living in Williamsburg,Apartment,United States of America,USA,40.71552,-73.93869,Williamsburg,4,220.0,1.0,0.0,5,1125,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', '24-hour check-in', 'Hangers', 'Iron']",0,2.0,2.0,Entire home/apt,2016-01-01 05:00:00,1,100.0,1,Mohammed,14461742,True
43,Quarto inteiro na Tijuca,Apartment,Brazil,BRA,-22.936203246553816,-43.247421907135774,Tijuca,1,149.0,1.0,0.0,1,15,flexible,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer']",178,1.0,1.0,Private room,2016-05-26 04:00:00,1,100.0,2,Gilberto,12673423,False
44,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,United States of America,USA,20.96996,-156.68012,Maui,4,499.0,1.0,0.0,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Indoor fireplace', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",365,1.0,2.0,Entire home/apt,2016-02-20 05:00:00,1,100.0,472,Holly,12057949,True
45,"Kailua-Kona, Kona Coast II 2b condo",Apartment,United States of America,USA,19.5702,-155.96445,Kailua/Kona,6,135.0,1.0,0.0,7,7,strict_14_with_grace_period,"['Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Gym', 'Family/kid friendly', 'Washer', 'Dryer']",196,2.0,3.0,Entire home/apt,2018-06-15 04:00:00,1,100.0,1,Daniel,3393610,False
46,"Friendly Apartment, 10m from Manly",Apartment,Australia,AUS,-33.79629,151.26969,Fairlight,2,36.0,2.0,20.0,1,1125,flexible,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'First aid kit', 'Essentials']",0,1.0,1.0,Private room,2016-02-16 05:00:00,4,95.0,1,Isaac,52453573,True
47,Cozy Queen Guest Room&My,Apartment,Hong Kong,CHN,22.31655,114.17034,Yau Tsim Mong,2,330.0,1.0,0.0,1,500,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",135,1.0,1.0,Private room,2018-11-06 05:00:00,9,73.0,29,Danny,52473150,True
48,Great studio opp. Narrabeen Lake,Apartment,Australia,AUS,-33.71472,151.29792,,2,117.0,1.0,20.0,1,1125,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Pool', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Dog(s)', 'Heating', 'Washer', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection']",26,0.0,1.0,Entire home/apt,2019-01-06 05:00:00,61,97.0,1,Tracy,634664,False
50,FloresRooms 3T,Apartment,Portugal,PRT,41.14404,-8.61205,,2,31.0,1.0,0.0,2,1124,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Elevator', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",278,0.0,1.0,Entire home/apt,2019-02-01 05:00:00,225,96.0,6,Andreia,51724179,True
51,IPANEMA LUXURY PENTHOUSE with MAID,Apartment,Brazil,BRA,-22.98034625363379,-43.20056249420509,Ipanema,3,858.0,3.0,112.0,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Smoking allowed', 'Doorman', 'Breakfast', 'Elevator', 'Free street parking', 'Washer', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",345,1.0,1.0,Entire home/apt,2018-12-12 05:00:00,29,99.0,3,Cesar,4428126,True
52,Your spot in Copacabana,Apartment,Brazil,BRA,-22.96270793328072,-43.17714541632985,Copacabana,6,798.0,4.0,20.0,2,15,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'First aid kit', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Window guards', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Host greets you']",247,2.0,5.0,Entire home/apt,2018-03-18 04:00:00,8,100.0,1,Ana Lúcia,52772199,False
53,Twin Bed room+MTR Mongkok shopping&My,Apartment,Hong Kong,CHN,22.31723,114.17073,Mong Kok,3,400.0,1.0,0.0,1,500,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",145,1.0,2.0,Private room,2018-07-12 04:00:00,22,83.0,29,Danny,52473150,True
54,Makaha Valley Paradise with OceanView,Condominium,United States of America,USA,21.4818,-158.20291,Leeward Side,4,95.0,1.0,0.0,3,180,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Elevator', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Long term stays allowed', 'Other', 'Paid parking on premises']",246,1.0,2.0,Entire home/apt,2019-02-28 05:00:00,32,98.0,2,Ray And Lise,42868615,False
55,Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Hong Kong,CHN,22.27671,113.92823,,2,487.0,1.0,0.0,1,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Cat(s)', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Children’s books and toys', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Host greets you']",339,1.0,1.0,Private room,2019-02-18 05:00:00,162,96.0,5,Ricky,52491634,False
56,~Ao Lele~ Flying Cloud,Treehouse,United States of America,USA,19.42151,-155.21763,Island of Hawaiʻi,2,185.0,2.0,0.0,2,30,strict_14_with_grace_period,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Breakfast', 'Indoor fireplace', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Garden or backyard', 'Host greets you']",165,1.0,1.0,Entire home/apt,2019-02-19 05:00:00,103,99.0,1,Mike,52785887,True
57,Banyan Bungalow,Bungalow,United States of America,USA,21.57561,-158.1602,Oʻahu,2,100.0,1.0,20.0,2,300,flexible,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Dog(s)', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Safety card', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water']",321,0.0,1.0,Entire home/apt,2019-02-19 05:00:00,99,96.0,1,Bobby,53507053,True
58,Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,Brazil,BRA,-22.93848268819496,-43.17645081249057,Flamengo,1,71.0,1.0,0.0,4,1125,moderate,"['TV', 'Wifi', 'Kitchen', 'Pets live on this property', 'Cat(s)', 'Elevator', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,1.0,1.0,Private room,2016-08-20 04:00:00,1,80.0,2,Fernanda,52988408,False
59,Beautiful flat with services,Apartment,Brazil,BRA,-22.982557305257775,-43.20577175003696,Ipanema,4,351.0,4.0,500.0,3,1125,strict_14_with_grace_period,"['Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', '24-hour check-in', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove']",316,2.0,2.0,Entire home/apt,2019-01-22 05:00:00,32,95.0,2,Liliane,36696735,True
61,BBC OPORTO 4X2,Apartment,Portugal,PRT,41.16246,-8.60069,,8,100.0,1.0,0.0,3,1125,flexible,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo']",264,4.0,8.0,Entire home/apt,2018-12-30 05:00:00,71,88.0,3,Cristina,3104922,False
